1,1563791881547,-432,464,848
1,1563791881550,-512,432,816
1,1563791881554,-448,432,784
5,1563791881563,32,-1008,320
5,1563791881568,-64,-992,304
3,1563791881571,560,816,-128
3,1563791881574,528,800,-208
1,1563791881582,-256,464,784
1,1563791881585,16,480,800
5,1563791881605,-176,-944,240
5,1563791881610,-208,-960,128
3,1563791881614,464,816,-272
3,1563791881617,432,848,-304
1,1563791881623,288,496,864
1,1563791881627,544,512,912
5,1563791881643,-272,-960,0
5,1563791881646,-240,-976,-96
3,1563791881650,384,912,-304
3,1563791881653,384,992,-224
1,1563791881663,720,544,976
1,1563791881667,704,560,992
5,1563791881682,-208,-1008,-128
5,1563791881686,-112,-1024,-80
3,1563791881690,384,1008,-144
3,1563791881695,416,992,-48
1,1563791881704,480,544,960
1,1563791881708,112,528,928
5,1563791881724,16,-1056,-16
5,1563791881728,64,-1056,96
5,1563791881732,48,-1024,192
3,1563791881736,464,960,-16
3,1563791881740,432,928,-16
1,1563791881744,-272,512,912
1,1563791881747,-512,480,864
5,1563791881763,0,-992,256
3,1563791881770,432,896,-48
3,1563791881773,464,864,-112
1,1563791881783,-544,464,832
1,1563791881787,-400,464,800
5,1563791881820,-32,-1008,272
5,1563791881825,-144,-992,224
5,1563791881829,-208,-944,144
3,1563791881832,544,848,-160
3,1563791881836,512,832,-224
1,1563791881840,-144,480,800
1,1563791881844,144,496,832
5,1563791881849,-272,-944,32
5,1563791881852,-272,-960,-48
3,1563791881856,432,832,-304
3,1563791881859,416,880,-336
1,1563791881863,384,512,880
1,1563791881865,624,512,912
5,1563791881883,-240,-992,-96
5,1563791881887,-224,-992,-64
3,1563791881891,400,928,-288
3,1563791881894,416,944,-208
1,1563791881903,720,528,944
1,1563791881907,688,528,928
5,1563791881924,-112,-1008,-32
5,1563791881929,16,-1056,32
3,1563791881933,432,944,-128
3,1563791881938,480,944,-32
1,1563791881944,464,528,896
1,1563791881947,192,512,880
5,1563791881964,16,-1040,96
5,1563791881967,0,-1008,144
3,1563791881971,512,912,0
3,1563791881975,448,912,-32
1,1563791881983,-112,512,896
1,1563791881987,-368,512,896
5,1563791882005,-32,-1008,192
5,1563791882009,-80,-992,192
3,1563791882013,416,912,-96
3,1563791882017,432,896,-144
5,1563791882044,-112,-1008,144
5,1563791882049,-208,-960,80
3,1563791882054,464,896,-192
3,1563791882059,464,896,-224
3,1563791882064,384,896,-320
1,1563791882071,-464,496,880
1,1563791882076,-416,496,864
1,1563791882080,-208,512,880
5,1563791882085,-288,-960,0
5,1563791882090,-256,-976,-64
3,1563791882094,368,944,-336
3,1563791882099,368,944,-272
1,1563791882105,80,512,896
1,1563791882109,304,512,912
1,1563791882113,528,512,944
5,1563791882123,-208,-992,-64
5,1563791882129,-112,-1008,-16
3,1563791882133,432,944,-160
3,1563791882137,480,928,-48
1,1563791882144,608,528,928
1,1563791882148,560,512,912
5,1563791882164,16,-1024,48
5,1563791882168,48,-1024,144
3,1563791882172,496,896,0
3,1563791882176,480,880,-16
1,1563791882183,304,496,864
1,1563791882187,-16,480,864
5,1563791882204,32,-1008,224
5,1563791882209,32,-1008,272
3,1563791882212,464,864,-32
3,1563791882216,464,864,-64
1,1563791882225,-304,480,864
1,1563791882230,-464,464,864
5,1563791882245,32,-1008,288
5,1563791882250,0,-1008,272
3,1563791882254,512,864,-112
3,1563791882258,528,848,-160
1,1563791882264,-464,464,832
1,1563791882268,-320,464,832
5,1563791882282,-128,-976,224
5,1563791882286,-224,-944,144
3,1563791882290,480,864,-240
3,1563791882294,400,880,-320
1,1563791882303,-80,496,832
1,1563791882307,208,496,880
5,1563791882323,-256,-960,16
5,1563791882327,-256,-976,-80
3,1563791882331,384,912,-320
3,1563791882335,368,960,-256
1,1563791882344,480,512,912
1,1563791882348,704,544,960
5,1563791882372,-192,-1008,-112
5,1563791882375,-160,-1008,-64
5,1563791882378,-16,-1040,0
3,1563791882382,400,992,-176
3,1563791882386,416,976,-96
1,1563791882390,736,560,976
1,1563791882393,560,528,928
1,1563791882397,240,512,896
5,1563791882404,48,-1040,80
5,1563791882407,48,-1024,176
