3,1562493317984,976,-144,224
3,1562493317991,992,-176,256
5,1562493317996,-720,432,-624
1,1562493318002,-464,-928,32
3,1562493318014,1024,-176,272
3,1562493318020,976,-208,320
5,1562493318026,-704,448,-640
5,1562493318032,-720,464,-624
5,1562493318038,-752,432,-576
1,1562493318043,-496,-944,64
1,1562493318048,-480,-896,64
1,1562493318054,-464,-880,32
3,1562493318061,960,-176,320
3,1562493318066,976,-160,272
5,1562493318071,-720,448,-592
5,1562493318076,-736,448,-608
1,1562493318085,-448,-880,64
1,1562493318090,-432,-896,80
3,1562493318103,992,-144,240
3,1562493318108,1008,-144,208
5,1562493318113,-720,448,-624
5,1562493318119,-704,432,-624
1,1562493318125,-448,-912,64
1,1562493318130,-480,-928,80
3,1562493318135,1024,-144,208
3,1562493318141,1008,-144,208
3,1562493318148,976,-128,208
5,1562493318154,-704,432,-624
5,1562493318159,-720,448,-608
1,1562493318164,-480,-896,64
1,1562493318170,-448,-880,48
3,1562493318175,960,-144,192
3,1562493318180,976,-144,192
5,1562493318189,-704,448,-592
5,1562493318194,-720,448,-608
1,1562493318200,-432,-880,64
1,1562493318205,-416,-912,96
3,1562493318214,1008,-144,192
3,1562493318220,1008,-144,224
5,1562493318227,-704,448,-624
5,1562493318232,-736,432,-576
1,1562493318237,-416,-928,112
1,1562493318242,-432,-928,112
3,1562493318252,992,-160,256
3,1562493318257,960,-176,272
5,1562493318263,-736,448,-576
5,1562493318268,-704,448,-608
1,1562493318273,-416,-928,112
1,1562493318279,-416,-912,112
3,1562493318291,960,-176,288
3,1562493318296,960,-176,304
5,1562493318305,-736,448,-592
5,1562493318313,-736,448,-592
1,1562493318317,-416,-912,112
1,1562493318322,-432,-912,96
3,1562493318332,992,-144,320
3,1562493318338,1024,-128,288
5,1562493318344,-752,432,-592
5,1562493318349,-736,400,-624
1,1562493318354,-464,-944,112
1,1562493318359,-464,-928,96
3,1562493318372,1008,-128,224
3,1562493318377,992,-144,256
5,1562493318389,-704,416,-624
5,1562493318394,-720,432,-624
1,1562493318400,-432,-928,96
1,1562493318405,-432,-912,96
3,1562493318412,960,-160,272
3,1562493318418,960,-144,272
5,1562493318423,-736,432,-592
5,1562493318430,-720,432,-608
1,1562493318435,-432,-880,80
1,1562493318440,-432,-896,64
3,1562493318452,992,-144,256
3,1562493318457,1008,-112,256
5,1562493318463,-720,432,-624
5,1562493318468,-704,400,-640
1,1562493318478,-432,-912,80
1,1562493318484,-416,-928,112
3,1562493318492,1008,-112,256
3,1562493318497,992,-160,256
5,1562493318503,-736,400,-624
5,1562493318510,-752,448,-608
5,1562493318515,-720,384,-624
1,1562493318521,-400,-928,112
1,1562493318526,-416,-944,128
3,1562493318532,1008,-112,288
3,1562493318538,1008,-96,272
5,1562493318543,-720,368,-624
5,1562493318549,-704,400,-640
1,1562493318561,-464,-960,112
1,1562493318567,-448,-928,80
3,1562493318573,992,-144,256
3,1562493318579,1008,-144,240
5,1562493318584,-720,432,-640
1,1562493318590,-416,-880,80
1,1562493318595,-448,-912,128
3,1562493318614,976,-128,272
3,1562493318618,1008,-96,288
5,1562493318623,-704,384,-624
5,1562493318632,-720,368,-592
5,1562493318637,-736,400,-592
1,1562493318642,-464,-912,160
1,1562493318647,-464,-928,144
1,1562493318652,-496,-912,144
3,1562493318661,976,-144,272
3,1562493318666,1008,-160,256
5,1562493318672,-704,384,-624
5,1562493318677,-704,400,-656
1,1562493318683,-512,-912,64
1,1562493318689,-512,-928,112
3,1562493318694,1008,-160,224
3,1562493318699,1008,-160,240
5,1562493318705,-704,400,-640
5,1562493318710,-736,400,-656
1,1562493318715,-576,-944,16
3,1562493318731,1008,-160,240
3,1562493318736,1008,-176,224
5,1562493318745,-736,416,-640
5,1562493318751,-752,416,-608
1,1562493318757,-640,-1008,160
1,1562493318762,-512,-752,96
1,1562493318768,-624,-832,96
3,1562493318775,976,-208,256
3,1562493318785,1008,-224,192
5,1562493318826,-736,448,-672
1,1562493318832,-736,-928,128
1,1562493318840,-656,-832,48
3,1562493318846,992,-192,192
5,1562493318851,-688,432,-672
3,1562493318857,1008,-144,208
5,1562493318862,-720,384,-624
5,1562493318867,-704,368,-640
1,1562493318875,-624,-784,16
3,1562493318881,1008,-144,208
3,1562493318885,992,-96,240
3,1562493318891,1008,-160,224
5,1562493318896,-688,336,-592
5,1562493318902,-736,400,-640
1,1562493318908,-608,-800,32
